starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 08 20:57:32 2013	1365447452	0	94	94	64
Mon Apr 08 20:57:43 2013	1365447463	0	94	94	70
Mon Apr 08 20:57:49 2013	1365447469	0	94	94	66
Mon Apr 08 20:57:51 2013	1365447471	0	94	94	63
Mon Apr 08 20:57:16 2013	1365447436	0	94	94	94
Mon Apr 08 20:57:44 2013	1365447464	0	94	94	81
Mon Apr 08 20:57:19 2013	1365447439	0	94	94	90
Mon Apr 08 20:57:40 2013	1365447460	0	94	94	62
Mon Apr 08 20:57:43 2013	1365447463	0	94	94	59
Mon Apr 08 20:57:31 2013	1365447451	0	94	94	66
Mon Apr 08 20:57:54 2013	1365447474	0	94	94	63
Mon Apr 08 20:57:50 2013	1365447470	0	94	94	57
Mon Apr 08 20:57:13 2013	1365447433	0	94	94	83
Mon Apr 08 20:58:05 2013	1365447485	0	94	94	64
Mon Apr 08 20:57:11 2013	1365447431	0	94	94	91
Mon Apr 08 20:57:59 2013	1365447479	0	94	94	68
Mon Apr 08 20:57:21 2013	1365447441	0	94	94	63
Mon Apr 08 20:57:53 2013	1365447473	1	94	94	61
Mon Apr 08 20:58:04 2013	1365447484	0	94	94	65
Mon Apr 08 20:57:14 2013	1365447434	0	94	94	94
Mon Apr 08 20:57:48 2013	1365447468	0	94	94	60
Mon Apr 08 20:57:48 2013	1365447468	0	94	94	51
Mon Apr 08 20:57:59 2013	1365447479	0	94	94	62
Mon Apr 08 20:57:08 2013	1365447428	0	94	94	94
Mon Apr 08 20:57:42 2013	1365447462	0	94	94	61
Mon Apr 08 20:57:48 2013	1365447468	9	85	94	49
Mon Apr 08 20:57:38 2013	1365447458	0	94	94	70
Mon Apr 08 20:57:23 2013	1365447443	0	94	95	57
Mon Apr 08 20:57:39 2013	1365447459	0	94	95	60
Mon Apr 08 20:57:33 2013	1365447453	0	94	95	64
Mon Apr 08 20:57:10 2013	1365447430	0	94	95	72
Mon Apr 08 20:57:56 2013	1365447476	0	94	95	72
Mon Apr 08 20:57:14 2013	1365447434	0	94	95	55
Mon Apr 08 20:57:26 2013	1365447446	0	94	95	70
Mon Apr 08 20:57:33 2013	1365447453	0	94	95	70
Mon Apr 08 20:57:32 2013	1365447452	1	94	95	74
Mon Apr 08 20:58:00 2013	1365447480	0	94	95	57
Mon Apr 08 20:58:04 2013	1365447484	0	94	95	68
Mon Apr 08 20:57:20 2013	1365447440	0	94	95	64
Mon Apr 08 20:57:49 2013	1365447469	0	94	95	67
Mon Apr 08 20:57:49 2013	1365447469	0	94	95	71
Mon Apr 08 20:57:21 2013	1365447441	0	94	95	62
Mon Apr 08 20:57:26 2013	1365447446	0	95	95	57
Mon Apr 08 20:57:39 2013	1365447459	0	95	95	69
Mon Apr 08 20:57:57 2013	1365447477	1	94	95	59
Mon Apr 08 20:58:05 2013	1365447485	0	94	95	61
Mon Apr 08 20:57:14 2013	1365447434	0	95	95	83
Mon Apr 08 20:57:25 2013	1365447445	0	94	95	63
Mon Apr 08 20:57:22 2013	1365447442	0	95	95	52
Mon Apr 08 20:57:15 2013	1365447435	0	95	95	81
Mon Apr 08 20:57:56 2013	1365447476	0	94	95	72
Mon Apr 08 20:57:40 2013	1365447460	0	95	95	73
Mon Apr 08 20:57:52 2013	1365447472	0	95	95	63
Mon Apr 08 20:57:27 2013	1365447447	0	95	95	58
Mon Apr 08 20:57:19 2013	1365447439	0	95	95	74
Mon Apr 08 20:57:34 2013	1365447454	0	94	95	69
Mon Apr 08 20:57:26 2013	1365447446	0	95	95	57
Mon Apr 08 20:57:44 2013	1365447464	4	91	95	62
Mon Apr 08 20:57:33 2013	1365447453	0	95	95	62
Mon Apr 08 20:57:11 2013	1365447431	0	95	95	72
Mon Apr 08 20:57:52 2013	1365447472	0	95	95	76
Mon Apr 08 20:57:34 2013	1365447454	0	95	95	71
Mon Apr 08 20:57:52 2013	1365447472	0	95	95	52
Mon Apr 08 20:57:42 2013	1365447462	0	94	95	73
Mon Apr 08 20:58:04 2013	1365447484	0	95	95	67
Mon Apr 08 20:57:43 2013	1365447463	1	94	95	58
Mon Apr 08 20:57:42 2013	1365447462	0	95	95	52
Mon Apr 08 20:57:58 2013	1365447478	0	95	95	49
Mon Apr 08 20:58:01 2013	1365447481	0	95	95	77
Mon Apr 08 20:57:51 2013	1365447471	0	95	95	95
Mon Apr 08 20:57:44 2013	1365447464	0	95	95	45
Mon Apr 08 20:57:36 2013	1365447456	0	95	95	53
Mon Apr 08 20:57:42 2013	1365447462	0	94	95	57
Mon Apr 08 20:57:26 2013	1365447446	0	95	95	63
Mon Apr 08 20:57:16 2013	1365447436	0	95	95	85
Mon Apr 08 20:57:49 2013	1365447469	0	95	95	67
Mon Apr 08 20:57:39 2013	1365447459	0	95	95	69
Mon Apr 08 20:57:34 2013	1365447454	1	94	95	61
Mon Apr 08 20:57:49 2013	1365447469	0	95	95	78
Mon Apr 08 20:58:01 2013	1365447481	0	95	95	81
Mon Apr 08 20:57:30 2013	1365447450	0	95	95	58
Mon Apr 08 20:57:55 2013	1365447475	0	94	95	43
Mon Apr 08 20:57:48 2013	1365447468	0	95	95	60
Mon Apr 08 20:57:32 2013	1365447452	0	95	95	64
Mon Apr 08 20:57:21 2013	1365447441	1	94	95	72
Mon Apr 08 20:57:32 2013	1365447452	0	95	95	69
Mon Apr 08 20:57:29 2013	1365447449	0	95	95	51
Mon Apr 08 20:57:25 2013	1365447445	0	95	95	71
Mon Apr 08 20:57:44 2013	1365447464	0	95	95	75
Mon Apr 08 20:57:10 2013	1365447430	0	95	95	71
Mon Apr 08 20:57:32 2013	1365447452	0	95	95	57
Mon Apr 08 20:57:41 2013	1365447461	0	95	95	65
Mon Apr 08 20:57:16 2013	1365447436	0	95	95	85
Mon Apr 08 20:57:23 2013	1365447443	0	95	95	73
Mon Apr 08 20:57:41 2013	1365447461	0	95	95	56
Mon Apr 08 20:58:03 2013	1365447483	0	95	95	63
Mon Apr 08 20:57:34 2013	1365447454	1	94	95	63
Mon Apr 08 20:57:39 2013	1365447459	0	95	95	54
Mon Apr 08 20:57:18 2013	1365447438	0	95	95	81
Mon Apr 08 20:57:23 2013	1365447443	0	95	95	63
Mon Apr 08 20:57:35 2013	1365447455	0	95	95	59
Mon Apr 08 20:57:49 2013	1365447469	0	95	95	66
Mon Apr 08 20:57:21 2013	1365447441	0	95	95	57
Mon Apr 08 20:58:05 2013	1365447485	0	95	95	67
Mon Apr 08 20:57:10 2013	1365447430	0	95	95	79
Mon Apr 08 20:57:23 2013	1365447443	0	95	95	59
Mon Apr 08 20:57:09 2013	1365447429	0	95	95	86
Mon Apr 08 20:57:13 2013	1365447433	0	95	95	45
Mon Apr 08 20:57:37 2013	1365447457	0	95	95	61
Mon Apr 08 20:57:28 2013	1365447448	0	95	95	66
Mon Apr 08 20:57:42 2013	1365447462	0	95	95	47
Mon Apr 08 20:57:52 2013	1365447472	0	95	95	66
Mon Apr 08 20:57:41 2013	1365447461	0	95	95	62
Mon Apr 08 20:57:20 2013	1365447440	0	95	95	77
Mon Apr 08 20:57:32 2013	1365447452	0	95	95	57
Mon Apr 08 20:57:27 2013	1365447447	0	95	95	67
Mon Apr 08 20:57:52 2013	1365447472	0	95	95	62
Mon Apr 08 20:57:35 2013	1365447455	0	95	95	62
Mon Apr 08 20:57:43 2013	1365447463	0	95	95	58
Mon Apr 08 20:57:53 2013	1365447473	0	95	95	63
Mon Apr 08 20:57:45 2013	1365447465	0	95	95	52
Mon Apr 08 20:57:37 2013	1365447457	0	95	95	69
Mon Apr 08 20:57:27 2013	1365447447	0	95	95	62
Mon Apr 08 20:57:29 2013	1365447449	0	95	95	62
Mon Apr 08 20:57:48 2013	1365447468	0	95	95	61
Mon Apr 08 20:57:53 2013	1365447473	0	95	95	69
Mon Apr 08 20:57:53 2013	1365447473	1	94	95	40
Mon Apr 08 20:57:23 2013	1365447443	0	95	95	63
Mon Apr 08 20:57:48 2013	1365447468	0	95	95	74
Mon Apr 08 20:58:04 2013	1365447484	0	95	95	61
Mon Apr 08 20:57:24 2013	1365447444	0	95	95	72
Mon Apr 08 20:57:41 2013	1365447461	0	95	95	58
Mon Apr 08 20:57:35 2013	1365447455	0	95	95	67
Mon Apr 08 20:57:19 2013	1365447439	0	95	95	48
Mon Apr 08 20:57:19 2013	1365447439	0	95	95	19
Mon Apr 08 20:57:58 2013	1365447478	0	95	95	68
Mon Apr 08 20:57:58 2013	1365447478	0	95	95	61
Mon Apr 08 20:57:42 2013	1365447462	0	95	95	49
Mon Apr 08 20:57:41 2013	1365447461	0	95	95	66
Mon Apr 08 20:57:30 2013	1365447450	0	95	95	60
Mon Apr 08 20:57:33 2013	1365447453	1	95	95	73
Mon Apr 08 20:57:11 2013	1365447431	0	95	95	74
Mon Apr 08 20:57:53 2013	1365447473	0	95	95	66
Mon Apr 08 20:57:14 2013	1365447434	0	95	95	95
Mon Apr 08 20:57:08 2013	1365447428	0	95	95	50
Mon Apr 08 20:57:51 2013	1365447471	0	95	95	79
Mon Apr 08 20:57:55 2013	1365447475	0	95	95	91
Mon Apr 08 20:57:15 2013	1365447435	0	95	95	93
Mon Apr 08 20:57:11 2013	1365447431	0	95	95	79
Mon Apr 08 20:57:21 2013	1365447441	0	95	95	76
Mon Apr 08 20:57:39 2013	1365447459	0	95	95	60
Mon Apr 08 20:57:12 2013	1365447432	0	95	95	72
Mon Apr 08 20:57:31 2013	1365447451	0	95	95	55
